images,masks
Challenge_Set_Images/ILSVRC2012_test_00014667.jpg,Challenge_Set_Masks/ILSVRC2012_test_00014667.png
Challenge_Set_Images/ILSVRC2012_test_00015927.jpg,Challenge_Set_Masks/ILSVRC2012_test_00015927.png
Challenge_Set_Images/ILSVRC2012_test_00017409.jpg,Challenge_Set_Masks/ILSVRC2012_test_00017409.png
Challenge_Set_Images/ILSVRC2012_test_00017948.jpg,Challenge_Set_Masks/ILSVRC2012_test_00017948.png
Challenge_Set_Images/ILSVRC2012_test_00025168.jpg,Challenge_Set_Masks/ILSVRC2012_test_00025168.png
Challenge_Set_Images/ILSVRC2012_test_00025842.jpg,Challenge_Set_Masks/ILSVRC2012_test_00025842.png
Challenge_Set_Images/ILSVRC2012_test_00026572.jpg,Challenge_Set_Masks/ILSVRC2012_test_00026572.png
Challenge_Set_Images/ILSVRC2012_test_00026989.jpg,Challenge_Set_Masks/ILSVRC2012_test_00026989.png
Challenge_Set_Images/ILSVRC2012_test_00029310.jpg,Challenge_Set_Masks/ILSVRC2012_test_00029310.png
Challenge_Set_Images/ILSVRC2012_test_00034853.jpg,Challenge_Set_Masks/ILSVRC2012_test_00034853.png
Challenge_Set_Images/ILSVRC2012_test_00036281.jpg,Challenge_Set_Masks/ILSVRC2012_test_00036281.png
Challenge_Set_Images/ILSVRC2012_test_00036627.jpg,Challenge_Set_Masks/ILSVRC2012_test_00036627.png
Challenge_Set_Images/ILSVRC2012_test_00044742.jpg,Challenge_Set_Masks/ILSVRC2012_test_00044742.png
Challenge_Set_Images/ILSVRC2012_test_00052108.jpg,Challenge_Set_Masks/ILSVRC2012_test_00052108.png
Challenge_Set_Images/ILSVRC2012_test_00057461.jpg,Challenge_Set_Masks/ILSVRC2012_test_00057461.png
Challenge_Set_Images/ILSVRC2012_test_00093636.jpg,Challenge_Set_Masks/ILSVRC2012_test_00093636.png
Challenge_Set_Images/ILSVRC2013_test_00000004.jpg,Challenge_Set_Masks/ILSVRC2013_test_00000004.png
Challenge_Set_Images/ILSVRC2013_test_00002674.jpg,Challenge_Set_Masks/ILSVRC2013_test_00002674.png
Challenge_Set_Images/ILSVRC2013_test_00003567.jpg,Challenge_Set_Masks/ILSVRC2013_test_00003567.png
Challenge_Set_Images/ILSVRC2013_test_00005838.jpg,Challenge_Set_Masks/ILSVRC2013_test_00005838.png
Challenge_Set_Images/images (3).jpeg,Challenge_Set_Masks/images (3).png
Challenge_Set_Images/images (4).jpeg,Challenge_Set_Masks/images (4).png
Challenge_Set_Images/images (5).jpeg,Challenge_Set_Masks/images (5).png
Challenge_Set_Images/KL58224-Edit.jpg,Challenge_Set_Masks/KL58224-Edit.png
Challenge_Set_Images/n03120491_22428.jpg,Challenge_Set_Masks/n03120491_22428.png
Challenge_Set_Images/n03134739_2114.jpg,Challenge_Set_Masks/n03134739_2114.png
Challenge_Set_Images/n03188531_26659.jpg,Challenge_Set_Masks/n03188531_26659.png
Challenge_Set_Images/n03710721_1250.jpg,Challenge_Set_Masks/n03710721_1250.png
Challenge_Set_Images/n03710721_1488.jpg,Challenge_Set_Masks/n03710721_1488.png
Challenge_Set_Images/n03710721_1983.jpg,Challenge_Set_Masks/n03710721_1983.png
Challenge_Set_Images/n03710721_1987.jpg,Challenge_Set_Masks/n03710721_1987.png
Challenge_Set_Images/n03710721_21823.jpg,Challenge_Set_Masks/n03710721_21823.png
Challenge_Set_Images/n03710721_2562.jpg,Challenge_Set_Masks/n03710721_2562.png
Challenge_Set_Images/n03710721_362.jpg,Challenge_Set_Masks/n03710721_362.png
Challenge_Set_Images/n03710721_5456.jpg,Challenge_Set_Masks/n03710721_5456.png
Challenge_Set_Images/n03710721_7816.jpg,Challenge_Set_Masks/n03710721_7816.png
Challenge_Set_Images/portrait-in-field-shallow-dof-out-of-focus-foreground.jpg,Challenge_Set_Masks/portrait-in-field-shallow-dof-out-of-focus-foreground.png
Challenge_Set_Images/Railway_hub.jpg,Challenge_Set_Masks/Railway_hub.png
Challenge_Set_Images/shallow-depth-field-photography.jpg,Challenge_Set_Masks/shallow-depth-field-photography.png
Challenge_Set_Images/shallow-depth-of-field-portrait.jpg,Challenge_Set_Masks/shallow-depth-of-field-portrait.png
Challenge_Set_Images/shallowsean.webp,Challenge_Set_Masks/shallowsean.png
Challenge_Set_Images/sun_agzdwjnheryimgai.jpg,Challenge_Set_Masks/sun_agzdwjnheryimgai.png
Challenge_Set_Images/sun_aomkxjlgmioqpedo.jpg,Challenge_Set_Masks/sun_aomkxjlgmioqpedo.png
Challenge_Set_Images/v2.jpeg,Challenge_Set_Masks/v2.png
